ID,CPUmodel,GPUmodel,TotCred,RAC
704835,INTEL(R) CORE(TM) I5-9400F CPU @ 2.90GHZ [FAMILY 6 MODEL 158 STEPPING 10],[CUDA|GEFORCE GT 710|1|1024MB|45671|102],1.471935904578e6,3794.318481
704843,INTEL(R) XEON(R) CPU E3-1225 V3 @ 3.20GHZ [FAMILY 6 MODEL 60 STEPPING 3],[CAL|AMD RADEON HD 6570/6670/7570/7670 SERIES (TURKS)|1|1024MB|1.4.1848|102],1.288740554551e6,1518.65686
704862,INTEL(R) CORE(TM) I5-9600K CPU @ 3.70GHZ [FAMILY 6 MODEL 158 STEPPING 12],NONE,1.147386658644e6,494.164858
704896,INTEL(R) CORE(TM) I5-10210U CPU @ 1.60GHZ [FAMILY 6 MODEL 142 STEPPING 12],[INTEL|INTEL(R) UHD GRAPHICS|1|3186MB||300],140677.937175,56.487549
704929,PENTIUM(R) DUAL-CORE CPU E6700 @ 3.20GHZ [FAMILY 6 MODEL 23 STEPPING 10],[CUDA|GEFORCE 8400 GS|1|256MB|34201|100],40659.184586,6.287264
704955,INTEL(R) CORE(TM) I7-4700MQ CPU @ 2.40GHZ [FAMILY 6 MODEL 60 STEPPING 3],NONE,12110.680042,2.824865
704963,ARMV7 PROCESSOR REV 3 (V7L) [IMPL 0X41 ARCH 7 VARIANT 0X0 PART 0XD08 REV 3],NONE,193999.323285,475.954241
704975,INTEL(R) XEON(R) CPU E5520 @ 2.27GHZ [FAMILY 6 MODEL 26 STEPPING 5],NONE,756655.977505,696.691986
704994,INTEL(R) CORE(TM) I7-7700 CPU @ 3.60GHZ [FAMILY 6 MODEL 158 STEPPING 9],[INTEL|INTEL(R) HD GRAPHICS 630|1|6515MB||201],5.520405576377e6,5692.52746
705028,INTEL(R) PENTIUM(R) CPU G4560 @ 3.50GHZ [FAMILY 6 MODEL 158 STEPPING 9],[CUDA|NVIDIA GEFORCE GTX 1050|1|2047MB|51694|300],363561.321543,415.120181
705068,INTEL(R) CORE(TM) I5-10210U CPU @ 1.60GHZ [FAMILY 6 MODEL 142 STEPPING 12],[INTEL|INTEL(R) UHD GRAPHICS|1|3190MB||300],255132.805941,483.460108
705097,INTEL(R) CORE(TM) I3-2120 CPU @ 3.30GHZ [FAMILY 6 MODEL 42 STEPPING 7],NONE,119362.377452,3.09235
705141,AMD RYZEN 5 4500U WITH RADEON GRAPHICS [FAMILY 23 MODEL 96 STEPPING 1],[CAL|AMD RADEON(TM) GRAPHICS|1|6222MB||200],446097.898828,342.708599
705161,ARMV7 PROCESSOR REV 4 (V7L) [IMPL 0X41 ARCH 7 VARIANT 0X0 PART 0XD03 REV 4],NONE,4197.961413,8.015256
705182,11TH GEN INTEL(R) CORE(TM) I7-1165G7 @ 2.80GHZ [FAMILY 6 MODEL 140 STEPPING 1],[CUDA|NVIDIA GEFORCE MX450|1|2047MB|51278|300][INTEL|INTEL(R) IRIS(R) XE GRAPHICS|1|6458MB||300],593471.462744,765.101946
705190,INTEL(R) CORE(TM) I7-10700 CPU @ 2.90GHZ [FAMILY 6 MODEL 165 STEPPING 5],[CUDA|NVIDIA GEFORCE RTX 2060|1|4095MB|51694|300][INTEL|INTEL(R) UHD GRAPHICS 630|1|26079MB||300],2.838390916934e6,3637.33003
705212,INTEL(R) CORE(TM) I7-6700K CPU @ 4.00GHZ [FAMILY 6 MODEL 94 STEPPING 3],NONE,184964.783441,262.538869
705248,INTEL(R) CORE(TM) I7-6700K CPU @ 4.00GHZ [FAMILY 6 MODEL 94 STEPPING 3],[CUDA|NVIDIA GEFORCE GTX 1080|1|4095MB|51694|300],4.759479674454e6,33.095689
705257,AARCH64 PROCESSOR REV 3 (AARCH64),[OPENCL_GPU|MALI-T720|1|1374MB|102],13771.84497,30.846768
705277,AMD RYZEN 3 3100 4-CORE PROCESSOR [FAMILY 23 MODEL 113 STEPPING 0],[CUDA|NVIDIA GEFORCE GTX 1650|1|4095MB|53141|300],726596.730767,805.406473
705308,AMD RYZEN 5 3600 6-CORE PROCESSOR [FAMILY 23 MODEL 113 STEPPING 0],[CAL|RADEON RX 580 SERIES|1|8192MB||200],1.739675193492e6,279.506173
705330,AMD A6-7310 APU WITH AMD RADEON R4 GRAPHICS [FAMILY 22 MODEL 48 STEPPING 1],[CAL|AMD RADEON(TM) R4 GRAPHICS|1|1257MB||200],330857.646686,402.823297
705446,INTEL(R) CORE(TM) I3-6100 CPU @ 3.70GHZ [FAMILY 6 MODEL 94 STEPPING 3],NONE,104642.583231,107.28247
705475,AMD FX(TM)-4100 QUAD-CORE PROCESSOR [FAMILY 21 MODEL 1 STEPPING 2],[CUDA|NVIDIA GEFORCE GTX 1050 TI|1|4095MB|51694|300],590088.077549,253.277599
705499,INTEL(R) CORE(TM) I7 CPU 950 @ 3.07GHZ [FAMILY 6 MODEL 26 STEPPING 5],[CUDA|GEFORCE GTS 450|1|1024MB|39135|101],113060.044337,37.793907
705507,INTEL(R) CORE(TM) I7-9750H CPU @ 2.60GHZ [FAMILY 6 MODEL 158 STEPPING 13],[CUDA|NVIDIA GEFORCE GTX 1650 WITH MAX-Q DESIGN|1|4095MB|52756|300][INTEL|INTEL(R) UHD GRAPHICS 630|1|3215MB||300],21015.83381,86.087326
705516,AMD RYZEN 7 3700X 8-CORE PROCESSOR [FAMILY 23 MODEL 113 STEPPING 0],[CAL|AMD RADEON RX 5600 XT|2|6128MB||200],3.633573771502e6,6293.923886
